Name,price_eur,mass,totalTHCmgInProduct,pcs_count,ThcPerPc,thc_per_eur,THC_label,note,ProductPageURL
"Czech CBD THC Odyssey Jelly Raspberry Cake, 70 mg THC, 10 pcs",6.81,40 g,70,10,7,10.28,THC,,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-raspberry-cake-70-mg-thc-10-pcs
"Czech CBD THC Odyssey Jelly Passion Fruit, 70 mg THC, 10 pcs",6.81,40 g,70,10,7,10.28,THC,,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-passion-fruit-70-mg-thc-10-pcs
"Czech CBD THC Odyssey Jelly Orange, 70 mg THC, 10 pcs",6.81,40 g,70,10,7,10.28,THC,,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-orange-70-mg-thc-10-pcs
"Czech CBD THC Odyssey Jelly Blue Mango, 70 mg THC, 10 pcs",6.81,40 g,70,10,7,10.28,THC,,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-blue-mango-70-mg-thc-10-pcs
"Czech CBD Odyssey THC Jelly Green Apple, 70 mg THC, 10 pcs",6.81,40 g,70,10,7,10.28,THC,,https://www.canatura.com/p/jelly-thc-czech-cbd-thc-odyssey-green-apple-jelly
"Czech CBD THC Odyssey Jelly Fresh Mint, 70 mg THC, 10 pcs",6.81,40 g,70,10,7,10.28,THC,,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-fresh-mint-70-mg-thc-10-pcs
"Canntropy THC+ Gummies Orange, 30 pcs x 5 mg, 150 g",30.77,150 g,150,30,5,4.87,THC+,Declared as THC+ (not split into THC vs other C),https://www.canatura.com/p/canntropy-thc-gummies-orange-30pcs-x-5mg-150g
"Canntropy THC+ Gummies Strawberry, 30 pcs x 5 mg, 150 g",33.23,150 g,150,30,5,4.51,THC+,Declared as THC+ (not split),https://www.canatura.com/p/canntropy-thc-gummies-strawberry-30pcs-x-5mg-150g
"Canntropy THC+ Gummies Strawberry, 10 pcs x 5 mg, 50 g",15.19,50 g,50,10,5,3.29,THC+,Declared as THC+ (not split),https://www.canatura.com/p/canntropy-thc-gummies-strawberry-10pcs-x-5mg-50g
"Canntropy THC+ Gummies Orange, 10 pcs x 5 mg, 50 g",16.41,50 g,50,10,5,3.05,THC+,Declared as THC+ (not split),https://www.canatura.com/p/canntropy-thc-gummies-orange-10pcs-x-5mg-50g
"Zen CBD THC+ Gummies Fruit Punch Sativa, 10 pcs, 200 mg",19.47,60 g,100,10,10,5.14,THC,"Title '200 mg' = THC+CBD (100+100), not 200 mg THC",https://www.canatura.com/p/zen-cbd-thc-gummies-fruit-punch-sativa-10-pcs-200-mg
"Zen CBD THC+ Gummies Fruit Punch Indica, 10 pcs, 200 mg",21.04,60 g,100,10,10,4.75,THC,"Title '200 mg' is CBD total, not THC; THC is 100 mg",https://www.canatura.com/p/zen-cbd-thc-gummies-fruit-punch-indica-10pcs-200mg
"Zen CBD THC+ Gummies Cherry, 10 pcs, 200 mg",19.47,60 g,100,10,10,5.14,THC,Title '200 mg' is CBD total; THC is 100 mg,https://www.canatura.com/p/zen-cbd-thc-gummies-cherry-10-pcs-200-mg
"Zen CBD THC+ Gummies Grape NiteNite, 10 pcs, 500 mg",19.47,60 g,100,10,10,5.14,THC,Title '500 mg' ≈ CBD 400 + THC 100; also CBN + melatonin,https://www.canatura.com/p/zen-cbd-thc-gummies-grape-nitenite-10-pcs-500-mg
"Zen CBD THC+ Fruit Punch Gummies, 5 pcs, 50 mg, 15 g",4.86,15 g,25,5,5,5.14,THC,Title '50 mg' = THC+CBD (25+25),https://www.canatura.com/p/zen-cbd-thc-fruit-punch-gummies-5pcs-50mg
"Zen CBD THC+ Gummies - Orange, 10 pcs, 110 mg, 60 g",19.47,60 g,10,10,1,0.51,THC,Title 110 mg + 1:10 ratio → ~1 mg THC + 10 mg CBD per pc,https://www.canatura.com/p/zen-cbd-thc-gummies-orange-10pcs
"Cannastra THC+ Astro Bears Strawberry Bath Jellies, 30 pcs x 5 mg, 150 g",23.93,150 g,150,30,5,6.27,THC+,Bath jellies (not edible). Declared THC+ only,https://www.canatura.com/p/cannastra-thc-astro-bears-strawberry-bath-jellies-30-pcs-x-5-mg-150-g
"Cannastra THC+ Astro Bears Strawberry Bath Jellies, 10 pcs x 5 mg, 50 g",11.76,50 g,50,10,5,4.25,THC+,Bath jellies (not edible). Declared THC+ only,https://www.canatura.com/p/cannastra-thc-astro-bears-strawberry-bath-jellies-10-pcs-x-5-mg-50-g
"Cannastra THC+ Astro Bears Orange Bath Jellies, 10 pcs x 5 mg, 50 g",11.76,50 g,50,10,5,4.25,THC+,Bath jellies (not edible). Declared THC+ only,https://www.canatura.com/p/cannastra-thc-astro-bears-orange-bath-jellies-10-pcs-x-5-mg-50-g
"Cannastra THC+ Astro Bears Orange Bath Jellies, 30 pcs x 5 mg, 150 g",23.93,150 g,150,30,5,6.27,THC+,Bath jellies (not edible). Declared THC+ only,https://www.canatura.com/p/cannastra-thc-astro-bears-orange-bath-jellies-10-pcs-x-5-mg-50-g-1
"Czech CBD THC Odyssey chocolate, 40 mg THC",5.42,35 g,40,1,40,7.38,THC,,https://www.canatura.com/p/czech-cbd-thc-odyssey-chocolate-40-mg-thc
"Czech CBD THC MouthFresh Strawberry, 40 mg THC, 40 ml",5.8,40 ml,40,1,40,6.9,THC,Cosmetics / oral spray. Title omits 100 mg CBG,https://www.canatura.com/p/czech-cbd-thc-mouthfresh-strawberry-40-mg-thc-40-ml
"Czech CBD THC MouthFresh Raspberry, 40 mg THC, 40 ml",5.8,40 ml,40,1,40,6.9,THC,Cosmetics / oral spray. Title omits 100 mg CBG,https://www.canatura.com/p/czech-cbd-thc-mouthfresh-raspberry-40-mg-thc-40-ml
"Czech CBD THC MouthFresh Orange, 40 mg THC, 40 ml",5.8,40 ml,40,1,40,6.9,THC,Cosmetics / oral spray. Title omits 100 mg CBG,https://www.canatura.com/p/czech-cbd-thc-mouthfresh-orange-40-mg-thc-40-ml
"Czech CBD Hydrophilic THC water soluble up to 0,2%, 30 ml, 55 mg THC",8.93,30 ml,55,1,55,6.16,THC,,https://www.canatura.com/p/czech-cbd-hydrophilic-thc-water-soluble-up-to-0-2-30-ml-55-mg-thc
"Czech CBD Hydrophilic THC water soluble up to 0,2%, 1000 ml, 1800 mg THC",80.72,1000 ml,1800,1,1800,22.3,THC,,https://www.canatura.com/p/czech-cbd-hydrophilic-thc-water-soluble-up-to-0-2-1000-ml-1800-mg-thc
