Name,price,potency(mg),mass,totalTHCmgInProduct,thc/eur
"Czech CBD THC Odyssey Jelly Raspberry Cake, 70 mg THC, 10 pcs",6.81,70.0,10 pcs,700.0,102.79
"Czech CBD THC Odyssey Jelly Passion Fruit, 70 mg THC, 10 pcs",6.81,70.0,10 pcs,700.0,102.79
"Czech CBD THC Odyssey Jelly Orange, 70 mg THC, 10 pcs",6.81,70.0,10 pcs,700.0,102.79
"Czech CBD THC Odyssey Jelly Blue Mango, 70 mg THC, 10 pcs",6.81,70.0,10 pcs,700.0,102.79
"Czech CBD Odyssey THC Jelly Green Apple, 70 mg THC, 10 pcs",6.81,70.0,10 pcs,700.0,102.79
"Canntropy THC+ Gummies Orange, 30 pcs x 5 mg, 150 g",30.77,5.0,150 g,150.0,4.87
"Zen CBD THC+ Gummies Fruit Punch Sativa, 10 pcs, 200 mg",19.47,20.0,10 pcs,200.0,10.27
"Canntropy THC+ Gummies Strawberry, 30 pcs x 5 mg, 150 g",33.23,5.0,150 g,150.0,4.51
"Zen CBD THC+ Gummies Grape NiteNite, 10 pcs, 500 mg",19.47,50.0,10 pcs,500.0,25.68
"Zen CBD THC+ Gummies Fruit Punch Indica, 10 pcs, 200 mg",21.04,20.0,10 pcs,200.0,9.51
"Canntropy THC+ Gummies Strawberry, 10 pcs x 5 mg, 50 g",15.19,5.0,50 g,50.0,3.29
"Canntropy THC+ Gummies Orange, 10 pcs x 5 mg, 50 g",16.41,5.0,50 g,50.0,3.05
"Cannastra THC+ Astro Bears Strawberry Bath Jellies, 30 pcs x 5 mg, 150 g",23.93,5.0,150 g,150.0,6.27
"Cannastra THC+ Astro Bears Strawberry Bath Jellies, 10 pcs x 5 mg, 50 g",11.76,5.0,50 g,50.0,4.25
"Czech CBD THC Odyssey Jelly Fresh Mint, 70 mg THC, 10 pcs",6.81,70.0,10 pcs,700.0,102.79
"Cannastra THC+ Astro Bears Orange Bath Jellies, 10 pcs x 5 mg, 50 g",11.76,5.0,50 g,50.0,4.25
"Zen CBD THC+ Gummies Cherry, 10 pcs, 200 mg",19.47,20.0,10 pcs,200.0,10.27
"Cannastra THC+ Astro Bears Orange Bath Jellies, 30 pcs x 5 mg, 150 g",23.93,5.0,150 g,150.0,6.27
"Czech CBD THC Odyssey chocolate, 40 mg THC",5.42,40.0,1 unit,40.0,7.38
"Czech CBD THC MouthFresh Strawberry, 40 mg THC, 40 ml",5.8,40.0,40 ml,40.0,6.9
"Zen CBD THC+ Fruit Punch Gummies, 5 pcs, 50 mg, 15 g",4.86,10.0,15 g,50.0,10.29
"Czech CBD THC MouthFresh Raspberry, 40 mg THC, 40 ml",5.8,40.0,40 ml,40.0,6.9
"Czech CBD Hydrophilic THC water soluble up to 0,2%, 30 ml, 55 mg THC",8.93,55.0,30 ml,55.0,6.16
"Czech CBD THC MouthFresh Orange, 40 mg THC, 40 ml",5.8,40.0,40 ml,40.0,6.9
"Zen CBD THC+ Gummies - Orange, 10 pcs, 110 mg, 60 g",19.47,11.0,60 g,110.0,5.65
"Czech CBD Hydrophilic THC water soluble up to 0,2%, 1000 ml, 1800 mg THC",80.72,1800.0,1000 ml,1800.0,22.3
