Product,cannabinoids,C/pc,C/eur,total_C_mg,total_C_per_eur,pcs,mass,price_eur,note,URL
"Czech CBD THC Odyssey Jelly Raspberry Cake, 70 mg THC, 10 pcs",THC 70 mg,THC 7 mg,THC 10.28 mg/€,70,10.28,10,40 g,6.81,,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-raspberry-cake-70-mg-thc-10-pcs
"Czech CBD THC Odyssey Jelly Passion Fruit, 70 mg THC, 10 pcs",THC 70 mg,THC 7 mg,THC 10.28 mg/€,70,10.28,10,40 g,6.81,,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-passion-fruit-70-mg-thc-10-pcs
"Czech CBD THC Odyssey Jelly Orange, 70 mg THC, 10 pcs",THC 70 mg,THC 7 mg,THC 10.28 mg/€,70,10.28,10,40 g,6.81,,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-orange-70-mg-thc-10-pcs
"Czech CBD THC Odyssey Jelly Blue Mango, 70 mg THC, 10 pcs",THC 70 mg,THC 7 mg,THC 10.28 mg/€,70,10.28,10,40 g,6.81,,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-blue-mango-70-mg-thc-10-pcs
"Czech CBD Odyssey THC Jelly Green Apple, 70 mg THC, 10 pcs",THC 70 mg,THC 7 mg,THC 10.28 mg/€,70,10.28,10,40 g,6.81,,https://www.canatura.com/p/jelly-thc-czech-cbd-thc-odyssey-green-apple-jelly
"Czech CBD THC Odyssey Jelly Fresh Mint, 70 mg THC, 10 pcs",THC 70 mg,THC 7 mg,THC 10.28 mg/€,70,10.28,10,40 g,6.81,,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-fresh-mint-70-mg-thc-10-pcs
"Canntropy THC+ Gummies Orange, 30 pcs x 5 mg, 150 g",THC+ 150 mg,THC+ 5 mg,THC+ 4.87 mg/€,150,4.87,30,150 g,30.77,Declared as THC+ (not split into THC vs other C),https://www.canatura.com/p/canntropy-thc-gummies-orange-30pcs-x-5mg-150g
"Canntropy THC+ Gummies Strawberry, 30 pcs x 5 mg, 150 g",THC+ 150 mg,THC+ 5 mg,THC+ 4.51 mg/€,150,4.51,30,150 g,33.23,Declared as THC+ (not split),https://www.canatura.com/p/canntropy-thc-gummies-strawberry-30pcs-x-5mg-150g
"Canntropy THC+ Gummies Strawberry, 10 pcs x 5 mg, 50 g",THC+ 50 mg,THC+ 5 mg,THC+ 3.29 mg/€,50,3.29,10,50 g,15.19,Declared as THC+ (not split),https://www.canatura.com/p/canntropy-thc-gummies-strawberry-10pcs-x-5mg-50g
"Canntropy THC+ Gummies Orange, 10 pcs x 5 mg, 50 g",THC+ 50 mg,THC+ 5 mg,THC+ 3.05 mg/€,50,3.05,10,50 g,16.41,Declared as THC+ (not split),https://www.canatura.com/p/canntropy-thc-gummies-orange-10pcs-x-5mg-50g
"Zen CBD THC+ Gummies Fruit Punch Sativa, 10 pcs, 200 mg",THC 100 mg | CBD 100 mg,THC 10 mg | CBD 10 mg,THC 5.14 mg/€ | CBD 5.14 mg/€,200,10.27,10,60 g,19.47,"Title '200 mg' = THC+CBD (100+100), not 200 mg THC",https://www.canatura.com/p/zen-cbd-thc-gummies-fruit-punch-sativa-10-pcs-200-mg
"Zen CBD THC+ Gummies Fruit Punch Indica, 10 pcs, 200 mg",THC 100 mg | CBD 200 mg,THC 10 mg | CBD 20 mg,THC 4.75 mg/€ | CBD 9.51 mg/€,300,14.26,10,60 g,21.04,"Title '200 mg' is CBD total, not THC; THC is 100 mg",https://www.canatura.com/p/zen-cbd-thc-gummies-fruit-punch-indica-10pcs-200mg
"Zen CBD THC+ Gummies Cherry, 10 pcs, 200 mg",THC 100 mg | CBD 200 mg,THC 10 mg | CBD 20 mg,THC 5.14 mg/€ | CBD 10.27 mg/€,300,15.41,10,60 g,19.47,Title '200 mg' is CBD total; THC is 100 mg,https://www.canatura.com/p/zen-cbd-thc-gummies-cherry-10-pcs-200-mg
"Zen CBD THC+ Gummies Grape NiteNite, 10 pcs, 500 mg",THC 100 mg | CBD 400 mg | CBN 20 mg | Melatonin 50 mg,THC 10 mg | CBD 40 mg | CBN 2 mg | Melatonin 5 mg,THC 5.14 mg/€ | CBD 20.54 mg/€ | CBN 1.03 mg/€ | Melatonin 2.57 mg/€,570,29.28,10,60 g,19.47,Title '500 mg' ≈ CBD 400 + THC 100; also CBN + melatonin,https://www.canatura.com/p/zen-cbd-thc-gummies-grape-nitenite-10-pcs-500-mg
"Zen CBD THC+ Fruit Punch Gummies, 5 pcs, 50 mg, 15 g",THC 25 mg | CBD 25 mg,THC 5 mg | CBD 5 mg,THC 5.14 mg/€ | CBD 5.14 mg/€,50,10.29,5,15 g,4.86,Title '50 mg' = THC+CBD (25+25),https://www.canatura.com/p/zen-cbd-thc-fruit-punch-gummies-5pcs-50mg
"Zen CBD THC+ Gummies - Orange, 10 pcs, 110 mg, 60 g",THC 10 mg | CBD 100 mg,THC 1 mg | CBD 10 mg,THC 0.51 mg/€ | CBD 5.14 mg/€,110,5.65,10,60 g,19.47,Title 110 mg + 1:10 ratio → ~1 mg THC + 10 mg CBD per pc,https://www.canatura.com/p/zen-cbd-thc-gummies-orange-10pcs
