name,price,stock,rating,url,image
"Czech CBD THC Odyssey Jelly Raspberry Cake, 70 mg THC, 10 pcs","6,81 €",In stock(> 15 pcs),Rating value is 5 of 5,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-raspberry-cake-70-mg-thc-10-pcs,https://canatura.s61.cdn-upgates.com/_cache/b/5/b505a806650bb7f1d1390c1a7c83db23-thc-odyssey-jelly-raspberry-zele.webp
"Czech CBD THC Odyssey Jelly Passion Fruit, 70 mg THC, 10 pcs","6,81 €",In stock(> 15 pcs),Rating value is 4 of 5,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-passion-fruit-70-mg-thc-10-pcs,https://canatura.s61.cdn-upgates.com/_cache/5/b/5b5efa84ebfc6ccab0f1c3cf17d82d27-thc-odyssey-jelly-passion-fruit-zele.webp
"Czech CBD THC Odyssey Jelly Orange, 70 mg THC, 10 pcs","6,81 €",In stock(> 15 pcs),Rating value is 5 of 5,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-orange-70-mg-thc-10-pcs,https://canatura.s61.cdn-upgates.com/_cache/2/4/24650f10058681834c5b5c164c83f7a9-thc-odyssey-jelly-orange-zele.webp
"Czech CBD THC Odyssey Jelly Blue Mango, 70 mg THC, 10 pcs","6,81 €",In stock(> 15 pcs),Rating value is 4 of 5,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-blue-mango-70-mg-thc-10-pcs,https://canatura.s61.cdn-upgates.com/_cache/4/e/4e97781c93c091fd52e5d7687a8d57d1-thc-odyssey-jelly-blue-mango-zele.webp
"Czech CBD Odyssey THC Jelly Green Apple, 70 mg THC, 10 pcs","6,81 €",In stock(> 15 pcs),Rating value is 5 of 5,https://www.canatura.com/p/jelly-thc-czech-cbd-thc-odyssey-green-apple-jelly,https://canatura.s61.cdn-upgates.com/_cache/b/8/b8c2b95ad3267e11e725258250d31c82-main-snimek-obrazovky-2026-06-17-101646-ig-square-1080-1080.webp
"Canntropy THC+ Gummies Orange, 30 pcs x 5 mg, 150 g","30,77 €(205,13 €/kg)",In stock(9 pcs),Rating value is 5 of 5,https://www.canatura.com/p/canntropy-thc-gummies-orange-30pcs-x-5mg-150g,https://canatura.s61.cdn-upgates.com/_cache/1/3/1337ffe9258ec363a8456ef4750e55c2-thc-orange-gummies-2.png
"Zen CBD THC+ Gummies Fruit Punch Sativa, 10 pcs, 200 mg","19,47 €",In stock(> 15 pcs),Rating value is 5 of 5,https://www.canatura.com/p/zen-cbd-thc-gummies-fruit-punch-sativa-10-pcs-200-mg,https://canatura.s61.cdn-upgates.com/_cache/2/4/241a776bf8f37420985dd0b3afc4b09f-main-imagetostl-com-zen-cbd-thc-sativa-10mg-cbd-10db.webp
"Canntropy THC+ Gummies Strawberry, 30 pcs x 5 mg, 150 g","33,23 €(221,53 €/kg)",Out of stock(0 pcs),Rating value is 4 of 5,https://www.canatura.com/p/canntropy-thc-gummies-strawberry-30pcs-x-5mg-150g,https://canatura.s61.cdn-upgates.com/_cache/3/d/3d26971bd492b8f47c1622845e135d20-thc-strawberry-gummies-2.webp
"Zen CBD THC+ Gummies Grape NiteNite, 10 pcs, 500 mg","19,47 €",In stock(> 15 pcs),Rating value is 5 of 5,https://www.canatura.com/p/zen-cbd-thc-gummies-grape-nitenite-10-pcs-500-mg,https://canatura.s61.cdn-upgates.com/_cache/4/f/4fd422f5bfe4e18c8c939e6377fd88df-zen-cbd-thc-gummies-grape-nitenite-10-pcs-500-mg.webp
"Zen CBD THC+ Gummies Fruit Punch Indica, 10 pcs, 200 mg","21,04 €",In stock(> 15 pcs),Rating value is 5 of 5,https://www.canatura.com/p/zen-cbd-thc-gummies-fruit-punch-indica-10pcs-200mg,https://canatura.s61.cdn-upgates.com/_cache/3/e/3e75d85a299f4668f0ba3d0d89ffab61-zencbd-fruitpunch.webp
