name,price,stock,rating,ProductPageURL
"Czech CBD THC Odyssey Jelly Raspberry Cake, 70 mg THC, 10 pcs","6,81 €",In stock (> 15 pcs),5/5,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-raspberry-cake-70-mg-thc-10-pcs
"Czech CBD THC Odyssey Jelly Passion Fruit, 70 mg THC, 10 pcs","6,81 €",In stock (> 15 pcs),4/5,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-passion-fruit-70-mg-thc-10-pcs
"Czech CBD THC Odyssey Jelly Orange, 70 mg THC, 10 pcs","6,81 €",In stock (> 15 pcs),5/5,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-orange-70-mg-thc-10-pcs
"Czech CBD THC Odyssey Jelly Blue Mango, 70 mg THC, 10 pcs","6,81 €",In stock (> 15 pcs),4/5,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-blue-mango-70-mg-thc-10-pcs
"Czech CBD Odyssey THC Jelly Green Apple, 70 mg THC, 10 pcs","6,81 €",In stock (> 15 pcs),5/5,https://www.canatura.com/p/jelly-thc-czech-cbd-thc-odyssey-green-apple-jelly
"Canntropy THC+ Gummies Orange, 30 pcs x 5 mg, 150 g","30,77 €",In stock (9 pcs),5/5,https://www.canatura.com/p/canntropy-thc-gummies-orange-30pcs-x-5mg-150g
"Zen CBD THC+ Gummies Fruit Punch Sativa, 10 pcs, 200 mg","19,47 €",In stock (> 15 pcs),5/5,https://www.canatura.com/p/zen-cbd-thc-gummies-fruit-punch-sativa-10-pcs-200-mg
"Canntropy THC+ Gummies Strawberry, 30 pcs x 5 mg, 150 g","33,23 €",Out of stock,4/5,https://www.canatura.com/p/canntropy-thc-gummies-strawberry-30pcs-x-5mg-150g
"Zen CBD THC+ Gummies Grape NiteNite, 10 pcs, 500 mg","19,47 €",In stock (> 15 pcs),5/5,https://www.canatura.com/p/zen-cbd-thc-gummies-grape-nitenite-10-pcs-500-mg
"Zen CBD THC+ Gummies Fruit Punch Indica, 10 pcs, 200 mg","21,04 €",In stock (> 15 pcs),5/5,https://www.canatura.com/p/zen-cbd-thc-gummies-fruit-punch-indica-10pcs-200mg
"Canntropy THC+ Gummies Strawberry, 10 pcs x 5 mg, 50 g","15,19 €",In stock (> 15 pcs),5/5,https://www.canatura.com/p/canntropy-thc-gummies-strawberry-10pcs-x-5mg-50g
"Canntropy THC+ Gummies Orange, 10 pcs x 5 mg, 50 g","16,41 €",In stock (> 15 pcs),5/5,https://www.canatura.com/p/canntropy-thc-gummies-orange-10pcs-x-5mg-50g
"Cannastra THC+ Astro Bears Strawberry Bath Jellies, 30 pcs x 5 mg, 150 g","23,93 €",Out of stock,5/5,https://www.canatura.com/p/cannastra-thc-astro-bears-strawberry-bath-jellies-30-pcs-x-5-mg-150-g
"Cannastra THC+ Astro Bears Strawberry Bath Jellies, 10 pcs x 5 mg, 50 g","11,76 €",In stock (> 15 pcs),5/5,https://www.canatura.com/p/cannastra-thc-astro-bears-strawberry-bath-jellies-10-pcs-x-5-mg-50-g
"Czech CBD THC Odyssey Jelly Fresh Mint, 70 mg THC, 10 pcs","6,81 €",In stock (> 15 pcs),4/5,https://www.canatura.com/p/czech-cbd-thc-odyssey-jelly-fresh-mint-70-mg-thc-10-pcs
"Cannastra THC+ Astro Bears Orange Bath Jellies, 10 pcs x 5 mg, 50 g","11,76 €",In stock (> 15 pcs),5/5,https://www.canatura.com/p/cannastra-thc-astro-bears-orange-bath-jellies-10-pcs-x-5-mg-50-g
"Zen CBD THC+ Gummies Cherry, 10 pcs, 200 mg","19,47 €",In stock (> 15 pcs),5/5,https://www.canatura.com/p/zen-cbd-thc-gummies-cherry-10-pcs-200-mg
"Cannastra THC+ Astro Bears Orange Bath Jellies, 30 pcs x 5 mg, 150 g","23,93 €",In stock (> 15 pcs),5/5,https://www.canatura.com/p/cannastra-thc-astro-bears-orange-bath-jellies-10-pcs-x-5-mg-50-g-1
"Czech CBD THC Odyssey chocolate, 40 mg THC","5,42 €",In stock (> 15 pcs),5/5,https://www.canatura.com/p/czech-cbd-thc-odyssey-chocolate-40-mg-thc
"Czech CBD THC MouthFresh Strawberry, 40 mg THC, 40 ml","5,80 €",In stock (> 15 pcs),4/5,https://www.canatura.com/p/czech-cbd-thc-mouthfresh-strawberry-40-mg-thc-40-ml
"Zen CBD THC+ Fruit Punch Gummies, 5 pcs, 50 mg, 15 g","4,86 €",In stock (> 15 pcs),5/5,https://www.canatura.com/p/zen-cbd-thc-fruit-punch-gummies-5pcs-50mg
"Czech CBD THC MouthFresh Raspberry, 40 mg THC, 40 ml","5,80 €",In stock (> 15 pcs),2/5,https://www.canatura.com/p/czech-cbd-thc-mouthfresh-raspberry-40-mg-thc-40-ml
"Czech CBD Hydrophilic THC water soluble up to 0,2%, 30 ml, 55 mg THC","8,93 €",In stock (> 15 pcs),3/5,https://www.canatura.com/p/czech-cbd-hydrophilic-thc-water-soluble-up-to-0-2-30-ml-55-mg-thc
"Czech CBD THC MouthFresh Orange, 40 mg THC, 40 ml","5,80 €",In stock (> 15 pcs),4/5,https://www.canatura.com/p/czech-cbd-thc-mouthfresh-orange-40-mg-thc-40-ml
"Zen CBD THC+ Gummies - Orange, 10 pcs, 110 mg, 60 g","19,47 €",In stock (> 15 pcs),1/5,https://www.canatura.com/p/zen-cbd-thc-gummies-orange-10pcs
"Czech CBD Hydrophilic THC water soluble up to 0,2%, 1000 ml, 1800 mg THC","80,72 €",In stock (5 pcs),5/5,https://www.canatura.com/p/czech-cbd-hydrophilic-thc-water-soluble-up-to-0-2-1000-ml-1800-mg-thc
